<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.29	17:04:00	151.971	151.988	151.970	151.974	47	0	3
2025.10.29	17:05:00	151.974	151.977	151.954	151.977	41	0	3
2025.10.29	17:06:00	151.976	151.979	151.954	151.967	43	0	3
2025.10.29	17:07:00	151.966	151.967	151.944	151.956	36	0	3
2025.10.29	17:08:00	151.957	151.957	151.946	151.957	43	0	3
2025.10.29	17:09:00	151.956	151.978	151.956	151.968	41	0	3
2025.10.29	17:10:00	151.969	151.992	151.965	151.992	33	0	3
2025.10.29	17:11:00	151.993	152.012	151.989	152.001	31	0	3
2025.10.29	17:12:00	152.001	152.033	152.000	152.025	49	0	3
2025.10.29	17:13:00	152.026	152.035	152.017	152.034	35	0	3
2025.10.29	17:14:00	152.032	152.050	152.029	152.046	38	0	3
2025.10.29	17:15:00	152.045	152.048	152.008	152.009	44	0	3
2025.10.29	17:16:00	152.009	152.037	152.009	152.032	47	0	3
2025.10.29	17:17:00	152.032	152.039	152.030	152.036	35	0	3
2025.10.29	17:18:00	152.038	152.039	152.030	152.032	37	0	3
2025.10.29	17:19:00	152.032	152.039	152.031	152.031	40	0	3
2025.10.29	17:20:00	152.032	152.036	152.015	152.025	54	0	3
2025.10.29	17:21:00	152.022	152.022	152.003	152.005	32	0	3
2025.10.29	17:22:00	152.004	152.017	152.002	152.016	39	0	3
2025.10.29	17:23:00	152.016	152.035	152.016	152.033	38	0	3
2025.10.29	17:24:00	152.032	152.058	152.031	152.045	46	0	3
2025.10.29	17:25:00	152.044	152.060	152.027	152.031	48	0	3
2025.10.29	17:26:00	152.031	152.043	152.025	152.030	58	0	3
2025.10.29	17:27:00	152.032	152.042	152.026	152.035	44	0	3
2025.10.29	17:28:00	152.035	152.042	152.034	152.040	40	0	3
2025.10.29	17:29:00	152.041	152.043	152.031	152.034	36	0	3
2025.10.29	17:30:00	152.035	152.038	152.026	152.026	35	0	3
2025.10.29	17:31:00	152.025	152.026	152.019	152.024	42	0	3
2025.10.29	17:32:00	152.025	152.027	152.010	152.015	38	0	3
2025.10.29	17:33:00	152.014	152.025	152.013	152.023	30	0	3
2025.10.29	17:34:00	152.024	152.037	152.016	152.017	37	0	3
2025.10.29	17:35:00	152.010	152.017	152.005	152.014	35	0	3
2025.10.29	17:36:00	152.014	152.015	152.005	152.015	35	0	3
2025.10.29	17:37:00	152.014	152.015	152.000	152.002	41	0	3
2025.10.29	17:38:00	152.003	152.016	152.002	152.013	22	0	4
2025.10.29	17:39:00	152.014	152.026	152.014	152.025	37	0	4
2025.10.29	17:40:00	152.025	152.033	152.023	152.026	39	0	3
2025.10.29	17:41:00	152.026	152.026	152.010	152.010	29	0	3
2025.10.29	17:42:00	152.015	152.025	152.011	152.014	34	0	3
2025.10.29	17:43:00	152.015	152.026	152.010	152.010	33	0	3
2025.10.29	17:44:00	152.011	152.018	152.003	152.004	43	0	3
2025.10.29	17:45:00	152.005	152.010	151.980	151.980	46	0	3
2025.10.29	17:46:00	151.981	152.006	151.973	152.004	47	0	3
2025.10.29	17:47:00	152.002	152.003	151.976	151.976	36	0	3
2025.10.29	17:48:00	151.977	151.987	151.976	151.980	43	0	3
2025.10.29	17:49:00	151.979	151.996	151.979	151.991	46	0	3
2025.10.29	17:50:00	151.992	152.014	151.979	152.009	60	0	3
2025.10.29	17:51:00	152.009	152.048	151.992	152.039	74	0	3
2025.10.29	17:52:00	152.036	152.039	151.974	151.980	51	0	3
2025.10.29	17:53:00	151.981	152.001	151.977	152.001	61	0	3
2025.10.29	17:54:00	152.002	152.021	151.993	152.017	51	0	3
2025.10.29	17:55:00	152.016	152.037	151.991	151.991	71	0	3
2025.10.29	17:56:00	151.992	152.034	151.987	151.987	71	0	3
2025.10.29	17:57:00	151.982	151.982	151.915	151.938	79	0	3
2025.10.29	17:58:00	151.936	151.939	151.911	151.911	68	0	3
2025.10.29	17:59:00	151.911	151.921	151.904	151.911	50	0	3
2025.10.29	18:00:00	151.912	151.951	151.912	151.946	66	0	3
2025.10.29	18:01:00	151.947	151.963	151.908	151.909	71	0	3
2025.10.29	18:02:00	151.908	151.933	151.896	151.915	61	0	3
2025.10.29	18:03:00	151.915	151.963	151.914	151.945	66	0	3
2025.10.29	18:04:00	151.948	151.979	151.941	151.978	68	0	3
2025.10.29	18:05:00	151.984	152.046	151.984	152.044	82	0	3
2025.10.29	18:06:00	152.045	152.109	152.045	152.101	72	0	3
2025.10.29	18:07:00	152.102	152.149	152.098	152.137	64	0	3
2025.10.29	18:08:00	152.135	152.166	152.130	152.152	82	0	3
2025.10.29	18:09:00	152.150	152.166	152.126	152.126	58	0	3
2025.10.29	18:10:00	152.126	152.155	152.121	152.141	66	0	3
2025.10.29	18:11:00	152.146	152.150	152.112	152.113	47	0	3
2025.10.29	18:12:00	152.117	152.138	152.117	152.129	43	0	3
2025.10.29	18:13:00	152.129	152.129	152.111	152.117	36	0	3
2025.10.29	18:14:00	152.115	152.116	152.086	152.097	43	0	3
2025.10.29	18:15:00	152.095	152.110	152.092	152.100	50	0	3
2025.10.29	18:16:00	152.101	152.102	152.091	152.092	39	0	3
2025.10.29	18:17:00	152.091	152.105	152.091	152.096	46	0	4
2025.10.29	18:18:00	152.095	152.100	152.083	152.088	38	0	4
2025.10.29	18:19:00	152.089	152.100	152.069	152.072	33	0	3
2025.10.29	18:20:00	152.071	152.096	152.071	152.091	34	0	3
2025.10.29	18:21:00	152.092	152.093	152.072	152.082	40	0	3
2025.10.29	18:22:00	152.082	152.093	152.078	152.093	30	0	3
2025.10.29	18:23:00	152.092	152.092	152.058	152.071	39	0	3
2025.10.29	18:24:00	152.067	152.071	152.056	152.066	39	0	3
2025.10.29	18:25:00	152.062	152.063	152.034	152.034	42	0	3
2025.10.29	18:26:00	152.033	152.034	152.022	152.023	26	0	3
2025.10.29	18:27:00	152.024	152.025	152.020	152.022	24	0	3
2025.10.29	18:28:00	152.023	152.057	152.022	152.051	49	0	3
2025.10.29	18:29:00	152.052	152.054	152.040	152.040	35	0	3
2025.10.29	18:30:00	152.045	152.077	152.045	152.060	46	0	3
2025.10.29	18:31:00	152.055	152.061	152.051	152.059	47	0	3
2025.10.29	18:32:00	152.060	152.096	152.058	152.095	38	0	3
2025.10.29	18:33:00	152.094	152.100	152.084	152.090	46	0	3
2025.10.29	18:34:00	152.092	152.096	152.089	152.092	34	0	3
2025.10.29	18:35:00	152.092	152.103	152.083	152.103	41	0	3
2025.10.29	18:36:00	152.103	152.117	152.093	152.095	31	0	3
2025.10.29	18:37:00	152.094	152.115	152.089	152.113	34	0	3
2025.10.29	18:38:00	152.114	152.133	152.104	152.125	56	0	3
2025.10.29	18:39:00	152.126	152.127	152.101	152.101	39	0	3
2025.10.29	18:40:00	152.101	152.106	152.099	152.106	33	0	3
2025.10.29	18:41:00	152.105	152.112	152.104	152.108	43	0	3
2025.10.29	18:42:00	152.110	152.119	152.106	152.115	35	0	3
2025.10.29	18:43:00	152.118	152.119	152.107	152.109	41	0	3
2025.10.29	18:44:00	152.106	152.119	152.103	152.116	28	0	3
2025.10.29	18:45:00	152.116	152.147	152.116	152.141	40	0	3
2025.10.29	18:46:00	152.140	152.145	152.135	152.142	28	0	3
2025.10.29	18:47:00	152.143	152.147	152.136	152.146	31	0	3
2025.10.29	18:48:00	152.147	152.148	152.129	152.132	41	0	3
2025.10.29	18:49:00	152.132	152.133	152.120	152.122	36	0	3
2025.10.29	18:50:00	152.123	152.129	152.111	152.127	40	0	2
2025.10.29	18:51:00	152.127	152.142	152.127	152.130	37	0	3
2025.10.29	18:52:00	152.130	152.143	152.129	152.138	34	0	3
2025.10.29	18:53:00	152.139	152.139	152.125	152.132	39	0	3
2025.10.29	18:54:00	152.131	152.145	152.131	152.140	33	0	3
2025.10.29	18:55:00	152.139	152.141	152.135	152.141	34	0	3
2025.10.29	18:56:00	152.140	152.168	152.138	152.166	33	0	3
2025.10.29	18:57:00	152.166	152.175	152.158	152.171	49	0	3
2025.10.29	18:58:00	152.172	152.176	152.153	152.154	45	0	3
2025.10.29	18:59:00	152.153	152.153	152.146	152.150	28	0	3
2025.10.29	19:00:00	152.151	152.151	152.140	152.141	28	0	3
2025.10.29	19:01:00	152.141	152.154	152.141	152.154	34	0	3
2025.10.29	19:02:00	152.152	152.152	152.137	152.146	48	0	3
2025.10.29	19:03:00	152.140	152.149	152.134	152.140	36	0	3
2025.10.29	19:04:00	152.140	152.150	152.137	152.145	27	0	3
2025.10.29	19:05:00	152.146	152.151	152.141	152.148	33	0	3
2025.10.29	19:06:00	152.145	152.151	152.136	152.137	34	0	3
2025.10.29	19:07:00	152.137	152.148	152.135	152.139	20	0	3
2025.10.29	19:08:00	152.139	152.141	152.120	152.126	28	0	3
2025.10.29	19:09:00	152.123	152.124	152.120	152.121	19	0	4
2025.10.29	19:10:00	152.121	152.125	152.116	152.121	25	0	4
2025.10.29	19:11:00	152.125	152.133	152.121	152.126	26	0	4
2025.10.29	19:12:00	152.124	152.125	152.102	152.103	26	0	4
2025.10.29	19:13:00	152.104	152.124	152.101	152.123	29	0	4
2025.10.29	19:14:00	152.122	152.126	152.103	152.103	21	0	4
2025.10.29	19:15:00	152.101	152.104	152.088	152.097	32	0	4
2025.10.29	19:16:00	152.097	152.104	152.091	152.100	30	0	4
2025.10.29	19:17:00	152.095	152.101	152.091	152.095	35	0	4
2025.10.29	19:18:00	152.096	152.104	152.093	152.103	29	0	3
2025.10.29	19:19:00	152.102	152.125	152.099	152.125	35	0	3
2025.10.29	19:20:00	152.124	152.130	152.123	152.125	42	0	3
2025.10.29	19:21:00	152.125	152.134	152.121	152.126	32	0	3
2025.10.29	19:22:00	152.127	152.157	152.121	152.149	50	0	3
2025.10.29	19:23:00	152.150	152.157	152.150	152.155	36	0	3
2025.10.29	19:24:00	152.155	152.160	152.147	152.150	31	0	3
2025.10.29	19:25:00	152.150	152.154	152.144	152.148	33	0	3
2025.10.29	19:26:00	152.147	152.152	152.139	152.147	32	0	3
2025.10.29	19:27:00	152.146	152.159	152.143	152.157	39	0	3
2025.10.29	19:28:00	152.157	152.170	152.157	152.170	13	0	3
2025.10.29	19:29:00	152.170	152.194	152.170	152.194	35	0	3
2025.10.29	19:30:00	152.192	152.225	152.192	152.217	48	0	3
2025.10.29	19:31:00	152.218	152.247	152.218	152.247	42	0	3
2025.10.29	19:32:00	152.250	152.275	152.250	152.274	48	0	3
2025.10.29	19:33:00	152.275	152.291	152.267	152.283	53	0	3
2025.10.29	19:34:00	152.285	152.287	152.276	152.277	30	0	3
2025.10.29	19:35:00	152.278	152.281	152.266	152.274	33	0	3
2025.10.29	19:36:00	152.273	152.307	152.273	152.292	37	0	3
2025.10.29	19:37:00	152.290	152.300	152.277	152.298	41	0	3
2025.10.29	19:38:00	152.298	152.316	152.297	152.315	50	0	3
2025.10.29	19:39:00	152.313	152.315	152.290	152.290	32	0	3
2025.10.29	19:40:00	152.290	152.314	152.289	152.310	41	0	3
2025.10.29	19:41:00	152.310	152.310	152.282	152.286	42	0	3
2025.10.29	19:42:00	152.284	152.290	152.282	152.287	27	0	3
2025.10.29	19:43:00	152.286	152.291	152.284	152.289	27	0	3
2025.10.29	19:44:00	152.293	152.303	152.285	152.291	35	0	3
2025.10.29	19:45:00	152.289	152.303	152.288	152.288	28	0	3
2025.10.29	19:46:00	152.290	152.303	152.290	152.298	29	0	3
2025.10.29	19:47:00	152.299	152.299	152.276	152.276	26	0	3
2025.10.29	19:48:00	152.275	152.283	152.265	152.278	33	0	3
2025.10.29	19:49:00	152.271	152.284	152.271	152.276	34	0	3
2025.10.29	19:50:00	152.277	152.277	152.239	152.240	42	0	3
2025.10.29	19:51:00	152.238	152.245	152.227	152.243	39	0	3
2025.10.29	19:52:00	152.244	152.269	152.244	152.261	30	0	3
2025.10.29	19:53:00	152.260	152.265	152.254	152.262	28	0	3
2025.10.29	19:54:00	152.264	152.265	152.258	152.261	35	0	3
2025.10.29	19:55:00	152.261	152.261	152.248	152.253	34	0	3
2025.10.29	19:56:00	152.254	152.265	152.250	152.265	36	0	3
2025.10.29	19:57:00	152.266	152.282	152.262	152.279	36	0	3
2025.10.29	19:58:00	152.281	152.298	152.280	152.296	42	0	3
2025.10.29	19:59:00	152.301	152.301	152.256	152.274	47	0	3
2025.10.29	20:00:00	152.278	152.447	152.239	152.438	92	0	3
2025.10.29	20:01:00	152.438	152.477	152.362	152.363	78	0	3
2025.10.29	20:02:00	152.365	152.370	152.182	152.221	86	0	3
2025.10.29	20:03:00	152.224	152.348	152.215	152.278	82	0	3
2025.10.29	20:04:00	152.282	152.380	152.279	152.377	63	0	3
2025.10.29	20:05:00	152.378	152.386	152.296	152.316	75	0	3
2025.10.29	20:06:00	152.306	152.396	152.286	152.391	85	0	3
2025.10.29	20:07:00	152.391	152.397	152.341	152.361	80	0	3
2025.10.29	20:08:00	152.361	152.378	152.326	152.355	84	0	3
2025.10.29	20:09:00	152.353	152.369	152.338	152.338	83	0	3
2025.10.29	20:10:00	152.335	152.408	152.335	152.389	78	0	3
2025.10.29	20:11:00	152.395	152.395	152.350	152.366	78	0	3
2025.10.29	20:12:00	152.363	152.383	152.350	152.381	77	0	3
2025.10.29	20:13:00	152.383	152.430	152.383	152.418	77	0	3
2025.10.29	20:14:00	152.419	152.476	152.419	152.473	75	0	3
2025.10.29	20:15:00	152.470	152.470	152.395	152.398	67	0	3
